,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,Class,status
10,12,19,9,61,9,12,154,11,12,2,18,11,3,18,13,35,1,3,1,11,22,4,6,16,2,16,6,4,3,12,17,126,15,61,23,11,3170,210.6518018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.1797333,254.1799164,0.935365796,0.893443704,0.935339987,-2.588825941,-0.788082659,0,0,0,0.000586777,0.999413223,0,0,0.001330579,0.998669421,0.167531405,0.167735537,0.167789256,0.496943802,0.332371074,0.3384,0.329224793,4.13E-06,0.33355124,0.332467769,0.333961157,1.98E-05,0,0,0.000470248,0.999529752,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.873418062,0.328775404,0.62980437,-1.402934265,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,22,0.053810262,0.05370962,0.308746533,0.049763193,0.059586992,0.055176509,0.011726238,3.41E-05,0,4.190145005,3.434344559,3.725855397,0.049848164,2,0,0,2,1,2,2,0,0,357,0,0,269,232,338,345,0,0,0,0,0,0,0,0,0,0,0,0.282931405,0.717068595,0,0,0,0,0,0,0,0,0,13,10,10,9,9,9,13,0,0,active,0
11,10,31,8,53,10,14,4,10,178,2,23,12,3,12,15,25,1,4,1,16,21,3,8,15,3,19,13,5,3,17,7,126,14,41,32,4,1913,164.0243852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.2054443,254.2056732,0.935453951,0.893533289,0.935435474,-2.588446856,-0.752053738,0,0,0,0.000606612,0.999393388,0,0,0.001341322,0.998658678,0.167538017,0.167759504,0.167761983,0.496940496,0.332561983,0.337905785,0.329528099,4.13E-06,0.334096694,0.331894215,0.333995868,1.32E-05,0,0,0.000607438,0.999392562,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.873842696,0.328798374,0.631847376,-1.417160537,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,25,0.053384224,0.052544493,0.30846685,0.049797019,0.058913822,0.054972674,0.011404671,3.41E-05,0,4.188974032,3.423390089,3.680005186,0.049549554,2,0,0,2,1,2,2,0,0,327,0,0,250,216,340,335,0,0,0,0,0,0,0,0,0,0,0,0.261419835,0.738580165,0,0,0,0,0,0,0,0,0,13,11,9,9,9,9,13,0,0,active,0
12,9,13,6,57,9,3,142,8,3,3,11,7,13,10,54,9,1,2,3,14,21,7,6,4,5,11,8,4,3,7,11,100,22,27,17,9,3302,216.308656,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.0479584,254.0523529,0.93554765,0.893627644,0.935522676,-2.587329149,-0.727517366,0,0.001071901,0.000239669,0.001006612,0.997681818,0.001049587,0.00052314,0.002038017,0.996389256,0.167438843,0.167755372,0.167924793,0.496880992,0.330576033,0.33762562,0.331794215,4.13E-06,0.334013223,0.333941322,0.332042149,3.31E-06,0,0.000129752,0.000561983,0.999308264,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.87441212,0.328822575,0.659665479,-1.401558863,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,19,0.053617883,0.050934228,0.308137138,0.049759666,0.057927017,0.054958168,0.011145332,0.012120555,0.01190011,4.187966441,3.438564126,3.614749318,0.052261576,2,0,0,2,2,2,2,0,0,310,0,0,229,234,299,312,0,0,0,0,0,0,0,0,0,0,0,0.281165289,0.718834711,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
13,11,25,10,40,7,15,9,13,155,2,17,12,8,13,14,31,1,2,1,15,21,4,7,13,2,18,12,4,3,13,4,123,18,66,34,14,3219,214.308656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.1541595,254.1545563,0.935278952,0.893357277,0.935249388,-2.587628603,-0.811002493,0,0.000145455,0,0.000603306,0.99925124,0.000341322,0,0.00132562,0.998333058,0.167657025,0.167772727,0.167796694,0.496773554,0.333956198,0.33663719,0.329402479,4.13E-06,0.334452893,0.332852893,0.332667769,2.64E-05,4.46E-05,3.55E-05,0.000493388,0.999426446,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.873106993,0.328753271,0.644049349,-1.401496618,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,23,0.054181775,0.054242633,0.308998207,0.049771435,0.059351638,0.055846959,0.011883398,1.79E-05,0,4.192115376,3.446783593,3.739549834,0.052836593,2,0,0,2,1,2,2,0,0,341,0,0,285,242,336,347,0,0,0,0,0,0,0,0,0,0,0,0.283269421,0.716730579,0,0,0,0,0,0,0,0,0,14,10,11,10,10,9,14,0,0,active,0
14,13,19,8,56,6,11,133,11,128,3,18,10,11,9,9,30,1,2,1,17,26,3,8,11,3,17,8,4,3,13,15,115,24,52,65,14,3218.5,212.8944424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.1524048,254.1526947,0.935273707,0.893347561,0.935242355,-2.587802649,-0.820354521,0,0,0,0.000589256,0.999410744,0,0,0.001357851,0.998642149,0.16758843,0.167796694,0.167877686,0.49673719,0.332155372,0.338094215,0.329746281,4.13E-06,0.335080992,0.331561157,0.333338017,1.98E-05,0,0,0.000459504,0.999540496,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.873118498,0.328750769,0.643934977,-1.397612064,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,21,0.054285903,0.052194812,0.309073391,0.049766806,0.059680537,0.056038475,0.012070099,6.50E-05,0,4.192292539,3.451701251,3.734126357,0.050827381,2,0,0,2,0,2,2,0,0,318,0,0,288,236,335,346,0,0,0,0,0,0,0,0,0,0,0,0.30051157,0.69948843,0,0,0,0,0,0,0,0,0,12,11,11,9,9,9,12,0,0,active,0
15,12,23,9,54,8,12,14,12,14,3,16,11,4,22,20,38,1,2,2,14,29,4,7,11,3,12,5,6,3,17,7,123,26,64,32,8,3246,213.4802289,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,253.9899597,253.9966431,0.93534857,0.893416882,0.935316205,-2.588235378,-0.798357844,0,0.001352066,0,0.000871901,0.997776033,0.001661983,0,0.001971074,0.996366942,0.167642975,0.167655372,0.1679,0.496801653,0.333545455,0.334330579,0.332119008,4.96E-06,0.334263636,0.335486777,0.330242975,6.61E-06,3.88E-05,0,0.000460331,0.999500826,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,128.3738286,189.0303754,0.87341046,0.328768538,0.642082425,-1.423579891,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,28,0.054791831,0.051622876,0.308820561,0.049787474,0.057148827,0.055613956,0.011860755,0.012193887,0.011801916,4.190259683,3.454493501,3.704464842,0.049999003,2,0,0,2,2,2,2,0,0,342,0,0,277,255,362,338,0,0,0,0,0,0,0,0,0,0,0,0.279590909,0.720409091,0,0,0,0,0,0,0,0,0,13,11,10,9,9,9,13,0,0,active,1
16,13,14,10,52,11,20,6,10,115,2,12,12,4,13,13,25,2,2,2,14,17,7,7,14,4,13,7,5,6,174,5,142,25,57,62,11,1911,164.0243852,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,254.028656,254.0335388,0.935471356,0.893545032,0.935439348,-2.590200663,-0.76156199,0,0.001077686,0,0.000617355,0.998304959,0.001052066,0,0.001369421,0.997578512,0.167450413,0.167583471,0.167755372,0.497210744,0.332722314,0.336496694,0.330776033,4.96E-06,0.33358595,0.333405785,0.332998347,9.92E-06,0,0,0.000483471,0.999516529,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.873752389,0.328801409,0.631133934,-1.418516168,0,1100,1,1100,1,1100,4,1100,1,1100,1,1100,1,1100,17,0.053523402,0.050878045,0.308090049,0.049791729,0.056131861,0.053927101,0.01112861,0.013653603,0.012177598,4.187247753,3.429944291,3.683337533,0.044869689,2,0,0,2,0,2,2,0,0,300,0,0,231,215,306,302,0,0,0,0,0,0,0,0,0,0,0,0.256256198,0.743743802,0,0,0,0,0,0,0,0,0,15,15,12,11,12,12,15,0,0,inactive,1
17,9,19,6,34,8,4,18,11,3,2,14,8,18,5,14,7,2,2,3,16,26,6,6,4,5,12,8,4,3,8,12,138,24,53,13,8,3198,212.6518018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,254.0659027,254.0694427,0.935607016,0.893685997,0.935581326,-2.588369608,-0.715942979,0,0.00122314,0,0.000976033,0.997800826,0.001399174,0,0.002040496,0.996560331,0.167501653,0.167621488,0.167895868,0.496980992,0.331632231,0.335921488,0.332442149,4.13E-06,0.332812397,0.33565124,0.33152314,1.32E-05,4.88E-05,4.71E-05,0.000604132,0.9993,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.874658419,0.328837546,0.660075866,-1.401700651,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,17,0.053471775,0.050788943,0.308039327,0.049742663,0.056310349,0.054573166,0.0110333,0.012153157,0.01199817,4.186937137,3.434390501,3.612774281,0.05032948,2,0,0,2,1,2,2,0,0,288,0,0,245,223,275,271,0,0,0,0,0,0,0,0,0,0,0,0.284577686,0.715422314,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
18,6,16,4,45,12,4,120,10,2,2,12,10,17,8,30,10,1,2,3,14,29,5,10,8,4,11,5,7,4,6,10,117,34,59,20,14,3361.5,217.7228695,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253.9795227,253.9874268,0.935324728,0.893404126,0.935297608,-2.585922003,-0.780031383,0,0.001371901,0.000252066,0.000999174,0.99737686,0.001683471,0.000521488,0.002068595,0.995726446,0.16764876,0.167780992,0.167970248,0.4966,0.331661157,0.336571901,0.33176281,4.13E-06,0.334886777,0.33398843,0.331118182,6.61E-06,3.14E-05,0.000136364,0.000490083,0.999342149,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,136.1012793,190.0023905,0.873593,0.328765263,0.654149692,-1.402999058,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,24,0.054544784,0.051572829,0.3087409,0.049785614,0.058411358,0.055840715,0.011708853,0.012291548,0.011867394,4.192376288,3.462211022,3.69739836,0.055180796,2,0,0,1,2,2,2,0,0,332,0,0,263,273,330,330,0,0,0,0,0,0,0,0,0,0,0,0.312593388,0.687406612,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
19,5,22,5,44,6,4,15,12,3,1,18,7,14,9,16,10,1,2,3,16,35,5,10,9,5,16,4,6,2,10,9,172,31,27,16,14,3309.5,216.0660154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,253.9981232,253.9994507,0.935373902,0.893457115,0.935354054,-2.586160421,-0.776114881,0,0.001544628,0,0.000971901,0.997483471,0.002065289,0,0.002056198,0.995878512,0.16773719,0.167685124,0.167902479,0.496675207,0.332801653,0.334778512,0.33241405,5.79E-06,0.333057025,0.334891736,0.332034711,1.65E-05,9.92E-05,4.05E-05,0.000615702,0.999244628,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,135.4289736,188.3760444,0.873764585,0.328778836,0.652504557,-1.387799282,0,1100,1,1100,1,1100,1,1100,1,1100,1,1100,1,1100,22,0.054433046,0.051458857,0.308642584,0.049776576,0.059117203,0.055821083,0.011615919,0.012177598,0.012128707,4.19164798,3.458389759,3.687541303,0.053750589,2,0,0,2,1,2,2,0,0,328,0,0,271,260,344,326,0,0,0,0,0,0,0,0,0,0,0,0.304619008,0.695380992,0,0,0,0,0,0,0,0,0,13,9,9,9,9,9,13,0,0,inactive,1
